,name,entity_id,isPremium,ipeds,review_average,review_count
59,University of Washington,f5464544-1058-40ec-a8be-41422b38bd6c,False,236948,3.784785435630689,4614
60,Texas A&M University,ac9cfdaf-b7c0-44c8-931b-af5caa160f52,True,228723,4.051205600207415,7714
61,Macalester College,bbb471e1-f21d-4278-83a4-c97222ee902d,True,173902,3.805555555555556,468
62,Babson College,6fb0ee68-051c-4fb6-b0b5-6419be89d63e,True,164580,3.7838541666666665,384
63,The Cooper Union for the Advancement of Science and Art,65ae1a47-e95a-4b30-b236-766926b18504,True,190372,3.7604166666666665,96
64,University of California - San Diego,e4b6f153-8cd9-4ff7-ad49-c2352d47e5e6,False,110680,3.623853211009174,3924
65,William & Mary,8f76b24e-c8f2-42ab-a961-32169d221bf7,True,231624,3.661027568922306,1596
66,University of South Florida,909c77eb-776f-417e-9230-6919ab231a2b,False,137351,3.809670506295205,7466
67,The Ohio State University,6546bf51-e026-4a43-ba7f-79f02126e09c,True,204796,3.912489233419466,5805
68,University of California - Santa Barbara,f56abd54-4c72-4706-aa60-b7b2db1435b1,True,110705,3.8480392156862746,4692
69,Haverford College,271075b3-07a0-450b-b4f3-78eb1fc7c03a,True,212911,3.9250936329588013,267
70,Lehigh University,a1237f7c-3941-41ce-ba42-687c276b73b4,True,213543,3.636756756756757,925
71,Wesleyan University,a0da9562-a209-49c5-af5d-fd157a9441a3,True,130697,3.7824324324324325,740
72,Vassar College,8d5e952b-9d81-43bb-807a-ac7d8f81f908,False,197133,3.746606334841629,663
73,Case Western Reserve University,7c5933a0-8dd6-4313-89cf-c9a3f41b7d3b,False,201645,3.60931289040318,1761
74,University of California - Davis,c323725c-f4bb-49c3-90d4-e35b25c46a29,False,110644,3.828498125123347,5067
75,University of Central Florida,62369217-8abf-4ff4-b8db-d1f27dcb1972,False,132903,3.820322682126646,22251
76,Colgate University,0055c0af-444e-46b0-a9a0-857a5e30966b,False,190099,3.5888568683957733,1041
77,Trinity University,f3315e60-decf-4d24-9051-86c3a287a693,True,229267,3.6994609164420487,742
78,Purdue University,0ad52ae5-18ba-46b2-a623-33a0eb5c108f,False,243780,3.8181458786321407,5059
79,Colby College,d8e776e3-b586-4ca3-9b96-3be5437a570d,True,161086,3.786324786324786,585
80,Carleton College,66d370e2-6bbb-4e64-bff6-d719a0ddb2cb,True,173258,3.856877323420074,538
